"","country","totalPrisoner","NationalPopulation","per100k","NumInstitute","OfficialCapacity","OccupancyLevel","Note","CapacityNote","GDP.2021"
"1","Bahamas",1617,412000,392,1,1000,161.7,"","",11208600000
"2","Brazil",811707,212.78,381,1413,466529,143.8,"","",1.60898e+12
"3","British Virgin Islands",143,30000,447,1,150,90,"","",NA
"4","Canada",38570,37.25,104,216,38771,102.2,"Year 2018 - 2019","",1.99076e+12
"5","China",1690000,1418,119,683,NA,100,"Not including some other political","Unknown",1.77341e+13
"6","El Salvador",36663,6.5,564,25,27037,135.7,"","",28736940000
"7","France",62991,65.27,119,187,60709,119.2,"","",2.93747e+12
"8","Germany",58004,83.16,70,179,72416,78.1,"","",4.22312e+12
"9","Grenada",463,11200,413,1,198,184,"","",1122083185
"10","India",478600,1373,35,1319,425609,130.2,"","",3.1734e+12
"11","Indonesia",266259,274.96,97,526,132107,208.6,"","",1.18609e+12
"12","Iran",189000,83.02,228,253,150000,153,"","",NA
"13","Italy",53930,58.97,91,206,51333,110.1,"","",2.09988e+12
"14","Japan",47064,126,37,184,89310,56.6,"","",4.93742e+12
"15","Mexico",220866,130.39,169,287,217018,105.8,"","",1.29304e+12
"16","Palau",86,18000,478,1,58,132.8,"","",NA
"17","Panama",18942,4.36,436,23,14591,144.7,"","",63605065800
"18","Philippines",165583,109.86,151,440,45730,362,"","",3.94086e+11
"19","Russia",471490,144.5,326,872,714253,67,"","",1.7758e+12
"20","Rwanda",76099,13.11,580,14,61320,124.1,"","",11070356519
"21","South Korea",53920,51.25,105,54,48130,112,"","",1.79853e+12
"22","St. Kitts and Nevis",220,52000,423,2,232,144,"","",976150666.7
"23","Thailand",309282,69.49,445,143,110000,339.1,"","",5.05982e+11
"24","Turkiye",291198,83.92,347,383,250756,113.1,"","",8.15272e+11
"25","Turkmenistan",35000,6.08,576,27,12882,85,"","",NA
"26","U.S. Virgin Islands",412,104500,394,3,355,162.5,"","",NA
"27","United Kingdom",78789,60.07,131,118,77700,104.6,"of England & Wales","",3.18686e+12
"28","United States",2068800,329,629,4455,2163235,95.6,"","",2.29961e+13
"29","Uruguay",13402,3.5,383,27,10238,130.9,"","Occupancy Level of Federal Prison over 130%",59319547636
"30","World",10771204,7687.71,140,NA,NA,NA,"","",9.61001e+13
