"","Type","Year","variable","value"
"1","State",2000,"Violent",625600
"2","State",2010,"Violent",725000
"3","State",2011,"Violent",710875
"4","State",2012,"Violent",707500
"5","State",2013,"Violent",704800
"6","State",2014,"Violent",696900
"7","State",2015,"Violent",707900
"8","State",2017,"Violent",709700
"9","State",2018,"Violent",693300
"10","Fed",2001,"Violent",14000
"11","Fed",2002,"Violent",14500
"12","Fed",2003,"Violent",14500
"13","Fed",2004,"Violent",15100
"14","Fed",2005,"Violent",15200
"15","Fed",2006,"Violent",15100
"16","Fed",2007,"Violent",14800
"17","Fed",2008,"Violent",14600
"18","Fed",2009,"Violent",14300
"19","Fed",2010,"Violent",13900
"20","Fed",2011,"Violent",13800
"21","Fed",2012,"Violent",13700
"22","Fed",2013,"Violent",13600
"23","Fed",2014,"Violent",14000
"24","Fed",2015,"Violent",13700
"25","Fed",2016,"Violent",13400
"26","Fed",2018,"Violent",12800
"27","Fed",2019,"Violent",12212
"28","State",2000,"Property",246400
"29","State",2010,"Property",249500
"30","State",2011,"Property",245351
"31","State",2012,"Property",247100
"32","State",2013,"Property",255600
"33","State",2014,"Property",249900
"34","State",2015,"Property",234000
"35","State",2017,"Property",214100
"36","State",2018,"Property",199700
"37","Fed",2001,"Property",10200
"38","Fed",2002,"Property",10300
"39","Fed",2003,"Property",10800
"40","Fed",2004,"Property",8300
"41","Fed",2005,"Property",8100
"42","Fed",2006,"Property",8500
"43","Fed",2007,"Property",9000
"44","Fed",2008,"Property",9600
"45","Fed",2009,"Property",10100
"46","Fed",2010,"Property",10300
"47","Fed",2011,"Property",10700
"48","Fed",2012,"Property",11200
"49","Fed",2013,"Property",11500
"50","Fed",2014,"Property",11500
"51","Fed",2015,"Property",11200
"52","Fed",2016,"Property",10600
"53","Fed",2018,"Property",9200
"54","Fed",2019,"Property",8400
"55","State",2000,"Drug",258100
"56","State",2010,"Drug",237000
"57","State",2011,"Drug",225242
"58","State",2012,"Drug",210200
"59","State",2013,"Drug",208000
"60","State",2014,"Drug",206300
"61","State",2015,"Drug",197200
"62","State",2017,"Drug",183900
"63","State",2018,"Drug",176300
"64","Fed",2001,"Drug",77000
"65","Fed",2002,"Drug",80600
"66","Fed",2003,"Drug",85300
"67","Fed",2004,"Drug",85300
"68","Fed",2005,"Drug",87800
"69","Fed",2006,"Drug",91500
"70","Fed",2007,"Drug",95200
"71","Fed",2008,"Drug",94300
"72","Fed",2009,"Drug",97700
"73","Fed",2010,"Drug",97800
"74","Fed",2011,"Drug",99900
"75","Fed",2012,"Drug",98900
"76","Fed",2013,"Drug",98200
"77","Fed",2014,"Drug",95800
"78","Fed",2015,"Drug",92000
"79","Fed",2016,"Drug",81900
"80","Fed",2018,"Drug",76700
"81","Fed",2019,"Drug",73210
"82","State",2000,"PublicOrder",69900
"83","State",2010,"PublicOrder",142500
"84","State",2011,"PublicOrder",141803
"85","State",2012,"PublicOrder",140200
"86","State",2013,"PublicOrder",146300
"87","State",2014,"PublicOrder",152800
"88","State",2015,"PublicOrder",150100
"89","State",2017,"PublicOrder",157600
"90","State",2018,"PublicOrder",153100
"91","Fed",2001,"PublicOrder",35500
"92","Fed",2002,"PublicOrder",37400
"93","Fed",2003,"PublicOrder",41200
"94","Fed",2004,"PublicOrder",44100
"95","Fed",2005,"PublicOrder",48200
"96","Fed",2006,"PublicOrder",50700
"97","Fed",2007,"PublicOrder",53700
"98","Fed",2008,"PublicOrder",56400
"99","Fed",2009,"PublicOrder",61200
"100","Fed",2010,"PublicOrder",63500
"101","Fed",2011,"PublicOrder",67400
"102","Fed",2012,"PublicOrder",68800
"103","Fed",2013,"PublicOrder",69200
"104","Fed",2014,"PublicOrder",68600
"105","Fed",2015,"PublicOrder",67500
"106","Fed",2016,"PublicOrder",65900
"107","Fed",2018,"PublicOrder",63600
"108","Fed",2019,"PublicOrder",63691
"109","State",2000,"Other",4000
"110","State",2010,"Other",7900
"111","State",2011,"Other",18534
"112","State",2012,"Other",10000
"113","State",2013,"Other",10600
"114","State",2014,"Other",10600
"115","State",2015,"Other",8900
"116","State",2017,"Other",8300
"117","State",2018,"Other",7300
"118","Fed",2001,"Other",800
"119","Fed",2002,"Other",900
"120","Fed",2003,"Other",900
"121","Fed",2004,"Other",1000
"122","Fed",2005,"Other",1200
"123","Fed",2006,"Other",1300
"124","Fed",2007,"Other",1200
"125","Fed",2008,"Other",1300
"126","Fed",2009,"Other",1200
"127","Fed",2010,"Other",1100
"128","Fed",2011,"Other",1200
"129","Fed",2012,"Other",1200
"130","Fed",2013,"Other",1200
"131","Fed",2014,"Other",1400
"132","Fed",2015,"Other",1400
"133","Fed",2016,"Other",900
"134","Fed",2018,"Other",600
"135","Fed",2019,"Other",594
